#    L    TT             EE             BB             TE          
   209    0.56151E+04    0.68505E+00    0.00000E+00   -0.10234E+01
   210    0.56216E+04    0.69498E+00    0.00000E+00    0.41543E+00
   211    0.56275E+04    0.70613E+00    0.00000E+00    0.18712E+01
   212    0.56327E+04    0.71853E+00    0.00000E+00    0.33429E+01
   213    0.56373E+04    0.73222E+00    0.00000E+00    0.48306E+01
   214    0.56413E+04    0.74719E+00    0.00000E+00    0.63332E+01
   215    0.56447E+04    0.76363E+00    0.00000E+00    0.78498E+01
   216    0.56474E+04    0.78136E+00    0.00000E+00    0.93809E+01
   217    0.56496E+04    0.80054E+00    0.00000E+00    0.10925E+02
   218    0.56511E+04    0.82116E+00    0.00000E+00    0.12481E+02
   219    0.56520E+04    0.84322E+00    0.00000E+00    0.14051E+02
   220    0.56523E+04    0.86688E+00    0.00000E+00    0.15631E+02
   221    0.56521E+04    0.89205E+00    0.00000E+00    0.17221E+02
   222    0.56512E+04    0.91889E+00    0.00000E+00    0.18822E+02
   223    0.56496E+04    0.94732E+00    0.00000E+00    0.20434E+02
   224    0.56475E+04    0.97734E+00    0.00000E+00    0.22053E+02
   225    0.56447E+04    0.10091E+01    0.00000E+00    0.23681E+02
   226    0.56414E+04    0.10426E+01    0.00000E+00    0.25316E+02
   227    0.56374E+04    0.10778E+01    0.00000E+00    0.26958E+02
   228    0.56328E+04    0.11148E+01    0.00000E+00    0.28607E+02
   229    0.56277E+04    0.11536E+01    0.00000E+00    0.30261E+02
   230    0.56219E+04    0.11942E+01    0.00000E+00    0.31920E+02
   231    0.56154E+04    0.12367E+01    0.00000E+00    0.33583E+02
   232    0.56084E+04    0.12809E+01    0.00000E+00    0.35250E+02
   233    0.56008E+04    0.13273E+01    0.00000E+00    0.36919E+02
   234    0.55924E+04    0.13755E+01    0.00000E+00    0.38590E+02
   235    0.55835E+04    0.14256E+01    0.00000E+00    0.40262E+02
   236    0.55740E+04    0.14778E+01    0.00000E+00    0.41935E+02
   237    0.55638E+04    0.15319E+01    0.00000E+00    0.43608E+02
   238    0.55531E+04    0.15882E+01    0.00000E+00    0.45280E+02
   239    0.55418E+04    0.16464E+01    0.00000E+00    0.46950E+02
   240    0.55298E+04    0.17066E+01    0.00000E+00    0.48618E+02
   241    0.55173E+04    0.17691E+01    0.00000E+00    0.50282E+02
   242    0.55042E+04    0.18335E+01    0.00000E+00    0.51943E+02
   243    0.54905E+04    0.19001E+01    0.00000E+00    0.53599E+02
   244    0.54762E+04    0.19689E+01    0.00000E+00    0.55250E+02
   245    0.54614E+04    0.20398E+01    0.00000E+00    0.56895E+02
   246    0.54460E+04    0.21129E+01    0.00000E+00    0.58533E+02
   247    0.54300E+04    0.21881E+01    0.00000E+00    0.60164E+02
