#           k/h    P           
    0.19248E-01    0.28307E+05
    0.19637E-01    0.28128E+05
    0.20034E-01    0.27931E+05
    0.20438E-01    0.27713E+05
    0.20851E-01    0.27477E+05
    0.21272E-01    0.27224E+05
    0.21702E-01    0.26958E+05
    0.22141E-01    0.26680E+05
    0.22588E-01    0.26392E+05
    0.23044E-01    0.26097E+05
    0.23510E-01    0.25793E+05
    0.23985E-01    0.25481E+05
    0.24469E-01    0.25160E+05
    0.24964E-01    0.24831E+05
    0.25468E-01    0.24494E+05
    0.25982E-01    0.24147E+05
    0.26507E-01    0.23791E+05
    0.27043E-01    0.23425E+05
    0.27589E-01    0.23050E+05
    0.28146E-01    0.22666E+05
    0.28715E-01    0.22274E+05
    0.29295E-01    0.21877E+05
    0.29887E-01    0.21475E+05
    0.30490E-01    0.21069E+05
    0.31106E-01    0.20661E+05
    0.31735E-01    0.20253E+05
    0.32376E-01    0.19846E+05
    0.33030E-01    0.19442E+05
    0.33697E-01    0.19041E+05
    0.34378E-01    0.18646E+05
    0.35072E-01    0.18257E+05
    0.35781E-01    0.17874E+05
    0.36504E-01    0.17499E+05
    0.37241E-01    0.17131E+05
    0.37993E-01    0.16773E+05
    0.38761E-01    0.16423E+05
    0.39544E-01    0.16084E+05
    0.40343E-01    0.15754E+05
    0.41158E-01    0.15436E+05
    0.41989E-01    0.15129E+05
    0.42838E-01    0.14835E+05
    0.43703E-01    0.14555E+05
    0.44586E-01    0.14289E+05
    0.45486E-01    0.14038E+05
    0.46405E-01    0.13801E+05
    0.47343E-01    0.13577E+05
    0.48299E-01    0.13363E+05
    0.49275E-01    0.13161E+05
    0.50270E-01    0.12967E+05
    0.51286E-01    0.12782E+05
    0.52322E-01    0.12605E+05
    0.53379E-01    0.12433E+05
    0.54457E-01    0.12266E+05
    0.55557E-01    0.12102E+05
    0.56680E-01    0.11939E+05
    0.57825E-01    0.11775E+05
    0.58993E-01    0.11609E+05
    0.60184E-01    0.11439E+05
    0.61400E-01    0.11265E+05
    0.62641E-01    0.11083E+05
