#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    68    0.17985E+04   -0.50047E+01    0.90433E-05   -0.50047E+01    0.29190E+00   -0.60516E-08    0.90433E-05   -0.60516E-08    0.24925E-10
    69    0.18225E+04   -0.54244E+01    0.87535E-05   -0.54244E+01    0.30412E+00   -0.56470E-08    0.87535E-05   -0.56470E-08    0.24070E-10
    70    0.18468E+04   -0.58524E+01    0.84790E-05   -0.58524E+01    0.31658E+00   -0.60359E-08    0.84790E-05   -0.60359E-08    0.23254E-10
    71    0.18712E+04   -0.62907E+01    0.82204E-05   -0.62907E+01    0.32928E+00   -0.73180E-08    0.82204E-05   -0.73180E-08    0.22473E-10
    72    0.18958E+04   -0.67409E+01    0.79764E-05   -0.67409E+01    0.34218E+00   -0.91911E-08    0.79764E-05   -0.91911E-08    0.21726E-10
    73    0.19205E+04   -0.72039E+01    0.77453E-05   -0.72039E+01    0.35526E+00   -0.11253E-07    0.77453E-05   -0.11253E-07    0.21011E-10
    74    0.19455E+04   -0.76793E+01    0.75253E-05   -0.76793E+01    0.36850E+00   -0.13101E-07    0.75253E-05   -0.13101E-07    0.20326E-10
    75    0.19708E+04   -0.81660E+01    0.73147E-05   -0.81660E+01    0.38191E+00   -0.14333E-07    0.73147E-05   -0.14333E-07    0.19670E-10
    76    0.19963E+04   -0.86636E+01    0.71120E-05   -0.86636E+01    0.39549E+00   -0.14650E-07    0.71120E-05   -0.14650E-07    0.19041E-10
    77    0.20222E+04   -0.91722E+01    0.69162E-05   -0.91722E+01    0.40923E+00   -0.14174E-07    0.69162E-05   -0.14174E-07    0.18437E-10
    78    0.20484E+04   -0.96931E+01    0.67269E-05   -0.96931E+01    0.42316E+00   -0.13130E-07    0.67269E-05   -0.13130E-07    0.17858E-10
    79    0.20749E+04   -0.10223E+02    0.65432E-05   -0.10223E+02    0.43723E+00   -0.11742E-07    0.65432E-05   -0.11742E-07    0.17302E-10
    80    0.21016E+04   -0.10762E+02    0.63646E-05   -0.10762E+02    0.45144E+00   -0.10236E-07    0.63646E-05   -0.10236E-07    0.16769E-10
    81    0.21285E+04   -0.11312E+02    0.61906E-05   -0.11312E+02    0.46574E+00   -0.88135E-08    0.61906E-05   -0.88135E-08    0.16256E-10
    82    0.21556E+04   -0.11872E+02    0.60214E-05   -0.11872E+02    0.48015E+00   -0.75843E-08    0.60214E-05   -0.75843E-08    0.15763E-10
